阿拉伯语 a1'la1'bo2'yu3
丑态百出 chou3'tai4'bai3'chu1
臭名昭著 chou4'ming2'zhao1'zhu4
臭名远扬 chou4'ming2'yuan3'yang2
臭味相投 chou4'wei4'xiang1'tou2
出人头地 chu1'ren2'tou2'di4
出尔反尔 chu1'er3'fan3'er3
出乖露丑 chu1'guai1'lu4'chou3
出乎意料 chu1'hu1'yi4'liao4
出将入相 chu1'jiang4'ru4'xiang4
出口成章 chu1'kou3'cheng2'zhang1
出口伤人 chu1'kou3'shang1'ren2
出类拔萃 chu1'lei4'ba2'cui4
出谋划策 chu1'mou2'hua4'ce4
出谋献策 chu1'mou2'xian4'ce4
出其不意 chu1'qi2'bu4'yi4
出奇制胜 chu1'qi2'zhi4'sheng4
出人意料 chu1'ren2'yi4'liao4
出神入化 chu1'shen2'ru4'hua4
出生入死 chu1'sheng1'ru4'si3
出头露面 chu1'tou2'lou4'mian4
出言不逊 chu1'yan2'bu4'xun4
出以公心 chu1'yi3'gong1'xin1
出租汽车 chu1'zu1'qi4'che1
初来乍到 chu1'lai2'zha4'dao4
初出茅庐 chu1'chu1'mao2'lu2
初具规模 chu1'ju4'gui1'mo2
初露锋芒 chu1'lu4'feng1'mang2
初露头角 chu1'lu4'tou2'jiao3
初生之犊 chu1'sheng1'zhi1'du2
除暴安良 chu2'bao4'an1'liang2
除此以外 chu2'ci3'yi3'wai4
除此之外 chu2'ci3'zhi1'wai4
除恶务尽 chu2'e4'wu4'jin4
除旧布新 chu2'jiu4'bu4'xin1
楚楚动人 chu3'chu3'dong4'ren2
处变不惊 chu3'bian4'bu4'jing1
处心积虑 chu3'xin1'ji1'lv4
处之泰然 chu3'zhi1'tai4'ran2
怵目惊心 chu4'mu4'jing1'xin1
触景生情 chu4'jing3'sheng1'qing2
触类旁通 chu4'lei4'pang2'tong1
触目皆是 chu4'mu4'jie1'shi4
触目惊心 chu4'mu4'jing1'xin1
川流不息 chuan1'liu2'bu4'xi1
穿连裆裤 chuan1'lian2'dang1'ku4
穿靴戴帽 chuan1'xue1'dai4'mao4
穿云破雾 chuan1'yun2'po4'wu4
穿凿附会 chuan1'zao2'fu4'hui4
穿针引线 chuan1'zhen1'yin3'xian4
传经送宝 chuan2'jing1'song4'bao3
传宗接代 chuan2'zong1'jie1'dai4
串通一气 chuan4'tong1'yi1'qi4
疮痍满目 chuang1'yi2'man3'mu4
窗口行业 chuang1'kou3'hang2'ye4
窗明几净 chuang1'ming2'ji1'jing4
吹毛求疵 chui1'mao2'qiu2'ci1
吹吹打打 chui1'chui1'da3'da3
吹灯拔蜡 chui1'deng1'ba2'la4
吹灰之力 chui1'hui1'zhi1'li4
吹拉弹唱 chui1'la1'tan2'chang4
垂帘听政 chui2'lian2'ting1'zheng4
垂暮之年 chui2'mu4'zhi1'nian2
垂死挣扎 chui2'si3'zheng1'zha2
垂头丧气 chui2'tou2'sang4'qi4
垂涎三尺 chui2'xian2'san1'chi3
垂涎欲滴 chui2'xian2'yu4'di1
垂直绿化 chui2'zhi2'lv4'hua4
捶胸顿足 chui2'xiong1'dun4'zu2
春风化雨 chun1'feng1'hua4'yu3
春意盎然 chun1'yi4'ang4'ran2
春风得意 chun1'feng1'de2'yi4
春风满面 chun1'feng1'man3'mian4
春寒料峭 chun1'han2'liao4'qiao4
春华秋实 chun1'hua2'qiu1'shi2
春暖花开 chun1'nuan3'hua1'kai1
春秋笔法 chun1'qiu1'bi3'fa3
唇齿相依 chun2'chi3'xiang1'yi1
