阿拉伯语 a1'la1'bo2'yu3
洗心革面 xi3'xin1'ge2'mian4
喜不自禁 xi3'bu4'zi4'jin4
喜结良缘 xi3'jie2'liang2'yuan2
喜眉笑眼 xi3'mei2'xiao4'yan3
喜怒哀乐 xi3'nu4'ai1'le4
喜怒无常 xi3'nu4'wu2'chang2
喜气洋洋 xi3'qi4'yang2'yang2
喜上眉梢 xi3'shang4'mei2'shao1
喜闻乐见 xi3'wen2'le4'jian4
喜笑颜开 xi3'xiao4'yan2'kai1
喜新厌旧 xi3'xin1'yan4'jiu4
喜形于色 xi3'xing2'yu2'se4
喜出望外 xi3'chu1'wang4'wai4
喜从天降 xi3'cong2'tian1'jiang4
系统工程 xi4'tong3'gong1'cheng2
细菌武器 xi4'jun1'wu3'qi4
细声细气 xi4'sheng1'xi4'qi4
细水长流 xi4'shui3'chang2'liu2
细枝末节 xi4'zhi1'mo4'jie2
细皮嫩肉 xi4'pi2'nen4'rou4
细高挑儿 xi4'gao1'tiao3'er
细嚼慢咽 xi4'jiao2'man4'ye4
虾兵蟹将 xia1'bing1'xie4'jiang4
瞎说八道 xia1'shuo1'ba1'dao4
瞎子摸象 xia1'zi3'mo1'xiang4
侠肝义胆 xia2'gan1'yi4'dan3
狭路相逢 xia2'lu4'xiang1'feng2
瑕不掩瑜 xia2'bu4'yan3'yu2
瑕瑜互见 xia2'yu2'hu4'xian4
下落不明 xia4'luo4'bu4'ming2
下巴颏儿 xia4'ba'ke1'er
下不了台 xia4'bu4'liao3'tai2
下不为例 xia4'bu4'wei2'li4
下车伊始 xia4'che1'yi1'shi3
下大力气 xia4'da4'li4'qi4
下里巴人 xia4'li3'ba1'ren2
下毛毛雨 xia4'mao2'mao'yu3
仙风道骨 xian1'feng1'dao4'gu3
先睹为快 xian1'du3'wei2'kuai4
先发制人 xian1'fa1'zhi4'ren2
先见之明 xian1'jian4'zhi1'ming2
先来后到 xian1'lai2'hou4'dao4
先礼后兵 xian1'li3'hou4'bing1
先入为主 xian1'ru4'wei2'zhu3
先声夺人 xian1'sheng1'duo2'ren2
先天不足 xian1'tian1'bu4'zu2
先意承志 xian1'yi4'cheng2'zhi4
先斩后奏 xian1'zhan3'hou4'zou4
先知先觉 xian1'zhi1'xian1'jue2
鲜为人知 xian1'wei2'ren2'zhi1
闲情逸致 xian2'qing2'yi4'zhi4
闲言碎语 xian2'yan2'sui4'yu3
闲云野鹤 xian2'yun2'ye3'he4
闲杂人员 xian2'za2'ren2'yuan2
弦外之音 xian2'wai4'zhi1'yin1
贤妻良母 xian2'qi1'liang2'mu3
涎皮赖脸 xian2'pi2'lai4'lian3
显而易见 xian3'er2'yi4'jian4
险象环生 xian3'xiang4'huan2'sheng1
现身说法 xian4'shen1'shuo1'fa3
现实主义 xian4'shi2'zhu3'yi4
乡土气息 xiang1'tu3'qi4'xi1
乡巴佬儿 xiang1'ba'lao3'er
乡规民约 xiang1'gui1'min2'yue1
相提并论 xiang1'ti2'bing4'lun4
相安无事 xiang1'an1'wu2'shi4
相持不下 xiang1'chi2'bu4'xia4
相得益彰 xiang1'de2'yi4'zhang1
相对真理 xiang1'dui4'zhen1'li3
相反相成 xiang1'fan3'xiang1'cheng2
相辅而行 xiang1'fu3'er2'xing2
相辅相成 xiang1'fu3'xiang1'cheng2
相见恨晚 xiang1'jian4'hen4'wan3
相敬如宾 xiang1'jing4'ru2'bin1
相亲相爱 xiang1'qin1'xiang1'ai4
相濡以沫 xiang1'ru2'yi3'mo4
相生相克 xiang1'sheng1'xiang1'ke4
相形见绌 xiang1'xing2'jian4'chu4
相形之下 xiang1'xing2'zhi1'xia4
相依为命 xiang1'yi1'wei2'ming4
相映成趣 xiang1'ying4'cheng2'qu4
响彻云霄 xiang3'che4'yun2'xiao1
响遏行云 xiang3'e4'xing2'yun2
想方设法 xiang3'fang1'she4'fa3
想入非非 xiang3'ru4'fei1'fei1
相机行事 xiang4'ji1'xing2'shi4
向隅而泣 xiang4'yu2'er2'qi4
象形文字 xiang4'xing2'wen2'zi4
象牙之塔 xiang4'ya2'zhi1'ta3
像模像样 xiang4'mu2'xiang4'yang4
橡皮图章 xiang4'pi2'tu2'zhang1
宵衣旰食 xiao1'yi1'gan4'shi2
消费结构 xiao1'fei4'jie2'gou4
逍遥法外 xiao1'yao2'fa3'wai4
逍遥自在 xiao1'yao2'zi4'zai4
萧规曹随 xiao1'gui1'cao2'sui2
硝化甘油 xiao1'hua4'gan1'you2
硝酸甘油 xiao1'suan1'gan1'you2
销声匿迹 xiao1'sheng1'ni4'ji4
销售一空 xiao1'shou4'yi1'kong1
霄壤之别 xiao1'rang3'zhi1'bie2
小打小闹 xiao3'da3'xiao3'nao4
小本经营 xiao3'ben3'jing1'ying2
小菜一碟 xiao3'cai4'yi1'die2
小大人儿 xiao3'da4'ren'er
小肚鸡肠 xiao3'du4'ji1'chang2
小恩小惠 xiao3'en1'xiao3'hui4
小而言之 xiao3'er2'yan2'zhi1
小户人家 xiao3'hu4'ren2'jia1
小家碧玉 xiao3'jia1'bi4'yu4
小家子气 xiao3'jia1'zi'qi4
小里小气 xiao3'li3'xiao3'qi4
小门脸儿 xiao3'men2'lian3'er
小巧玲珑 xiao3'qiao3'ling2'long2
小人得志 xiao3'ren2'de2'zhi4
小人儿书 xiao3'ren2'er'shu1
小试锋芒 xiao3'shi4'feng1'mang2
小手小脚 xiao3'shou3'xiao3'jiao3
小题大作 xiao3'ti2'da4'zuo4
小偷小摸 xiao3'tou1'xiao3'mo1
小心谨慎 xiao3'xin1'jin3'shen4
小心眼儿 xiao3'xin1'yan3'er
小心翼翼 xiao3'xin1'yi4'yi4
晓行夜宿 xiao3'xing2'ye4'su4
晓以利害 xiao3'yi3'li4'hai4
晓之以理 xiao3'zhi1'yi3'li3
孝子贤孙 xiao4'zi3'xian2'sun1
效益工资 xiao4'yi4'gong1'zi1
笑逐颜开 xiao4'zhu2'yan2'kai1
笑里藏刀 xiao4'li3'cang2'dao1
笑脸相迎 xiao4'lian3'xiang1'ying2
笑容可掬 xiao4'rong2'ke3'ju1
笑容满面 xiao4'rong2'man3'mian4
楔形文字 xie1'xing2'wen2'zi4
歇斯底里 xie1'si1'di3'li3
邪门歪道 xie2'men2'wai1'dao4
胁肩谄笑 xie2'jian1'chan3'xiao4
挟嫌报复 xie2'xian2'bao4'fu4
携家带口 xie2'jia1'dai4'kou3
卸磨杀驴 xie4'mo4'sha1'lv2
谢天谢地 xie4'tian1'xie4'di4
心安理得 xin1'an1'li3'de2
心平气和 xin1'ping2'qi4'he2
心口如一 xin1'kou3'ru2'yi1
心如刀割 xin1'ru2'dao1'ge1
心如刀绞 xin1'ru2'dao1'jiao3
心不在焉 xin1'bu4'zai4'yan1
心潮澎湃 xin1'chao2'peng2'pai4
心潮起伏 xin1'chao2'qi3'fu2
心驰神往 xin1'chi2'shen2'wang3
心慈手软 xin1'ci2'shou3'ruan3
心存芥蒂 xin1'cun2'jie4'di4
心心念念 xin1'xin1'nian4'nian4
心胆俱裂 xin1'dan3'ju4'lie4
心到神知 xin1'dao4'shen2'zhi1
心心相连 xin1'xin1'xiang1'lian2
心烦意乱 xin1'fan2'yi4'luan4
心心相印 xin1'xin1'xiang1'yin4
心服口服 xin1'fu2'kou3'fu2
心腹之患 xin1'fu4'zhi1'huan4
心甘情愿 xin1'gan1'qing2'yuan4
心广体胖 xin1'guang3'ti3'pan2
心狠手辣 xin1'hen3'shou3'la4
心花怒放 xin1'hua1'nu4'fang4
心怀鬼胎 xin1'huai2'gui3'tai1
心怀叵测 xin1'huai2'po3'ce4
心慌意乱 xin1'huang1'yi4'luan4
心灰意懒 xin1'hui1'yi4'lan3
心灰意冷 xin1'hui1'yi4'leng3
心血来潮 xin1'xue4'lai2'chao2
心肌梗死 xin1'ji1'geng3'si3
心急火燎 xin1'ji2'huo3'liao3
心急如焚 xin1'ji2'ru2'fen2
心有余悸 xin1'you3'yu2'ji4
心猿意马 xin1'yuan2'yi4'ma3
心惊胆战 xin1'jing1'dan3'zhan4
心悦诚服 xin1'yue4'cheng2'fu2
心惊肉跳 xin1'jing1'rou4'tiao4
心宽体胖 xin1'kuan1'ti3'pan2
心旷神怡 xin1'kuang4'shen2'yi2
心劳日拙 xin1'lao2'ri4'zhuo1
心照不宣 xin1'zhao4'bu4'xuan1
心直口快 xin1'zhi2'kou3'kuai4
心中有数 xin1'zhong1'you3'shu4
心理医生 xin1'li3'yi1'sheng1
心力交瘁 xin1'li4'jiao1'cui4
心力衰竭 xin1'li4'shuai1'jie2
心灵手巧 xin1'ling2'shou3'qiao3
心中有鬼 xin1'zhong1'you3'gui3
心领神会 xin1'ling3'shen2'hui4
心乱如麻 xin1'luan4'ru2'ma2
心满意足 xin1'man3'yi4'zu2
心明眼亮 xin1'ming2'yan3'liang4
辛亥革命 xin1'hai4'ge2'ming4
欣喜若狂 xin1'xi3'ruo4'kuang2
欣欣向荣 xin1'xin1'xiang4'rong2
新媳妇儿 xin1'xi2'fu'er
新婚燕尔 xin1'hun1'yan4'er3
新陈代谢 xin1'chen2'dai4'xie4
新来乍到 xin1'lai2'zha4'dao4
新老交替 xin1'lao3'jiao1'ti4
新生力量 xin1'sheng1'li4'liang
信而有征 xin4'er2'you3'zheng1
信誓旦旦 xin4'shi4'dan4'dan4
信口雌黄 xin4'kou3'ci2'huang2
信口开河 xin4'kou3'kai1'he2
信马由缰 xin4'ma3'you2'jiang1
信任投票 xin4'ren4'tou2'piao4
信赏必罚 xin4'shang3'bi4'fa2
信手拈来 xin4'shou3'nian1'lai2
信息技术 xin4'xi1'ji4'shu4
信息社会 xin4'xi1'she4'hui4
信以为真 xin4'yi3'wei2'zhen1
兴风作浪 xing1'feng1'zuo4'lang4
兴师动众 xing1'shi1'dong4'zhong4
兴师问罪 xing1'shi1'wen4'zui4
兴妖作怪 xing1'yao1'zuo4'guai4
兴利除弊 xing1'li4'chu2'bi4
星火计划 xing1'huo3'ji4'hua4
星火燎原 xing1'huo3'liao2'yuan2
星罗棋布 xing1'luo2'qi2'bu4
星球大战 xing1'qiu2'da4'zhan4
星星点点 xing1'xing1'dian3'dian3
星星之火 xing1'xing1'zhi1'huo3
星移斗转 xing1'yi2'dou3'zhuan3
惺惺作态 xing1'xing1'zuo4'tai4
腥风血雨 xing1'feng1'xue4'yu3
刑事法庭 xing2'shi4'fa3'ting2
刑事拘留 xing2'shi4'ju1'liu2
刑事判决 xing2'shi4'pan4'jue2
刑事诉讼 xing2'shi4'su4'song4
行成于思 xing2'cheng2'yu2'sai1
行将就木 xing2'jiang1'jiu4'mu4
行色匆匆 xing2'se4'cong1'cong1
行尸走肉 xing2'shi1'zou3'rou4
行为能力 xing2'wei2'neng2'li4
行李卷儿 xing2'li'juan3'er
行云流水 xing2'yun2'liu2'shui3
行政处罚 xing2'zheng4'chu4'fa2
行政拘留 xing2'zheng4'ju1'liu2
行政区划 xing2'zheng4'qu1'hua4
行之有效 xing2'zhi1'you3'xiao4
形影相吊 xing2'ying3'xiang1'diao4
形影相随 xing2'ying3'xiang1'sui2
形单影只 xing2'dan1'ying3'zhi1
形而上学 xing2'er2'shang4'xue2
形神兼备 xing2'shen2'jian1'bei4
形势逼人 xing2'shi4'bi1'ren2
形式主义 xing2'shi4'zhu3'yi4
形象工程 xing2'xiang4'gong1'cheng2
形象思维 xing2'xiang4'si1'wei2
形形色色 xing2'xing2'se4'se4
形影不离 xing2'ying3'bu4'li2
兴高采烈 xing4'gao1'cai3'lie4
兴头儿上 xing4'tou2'er'shang
兴致勃勃 xing4'zhi4'bo2'bo2
幸灾乐祸 xing4'zai1'le4'huo4
凶多吉少 xiong1'duo1'ji2'shao3
凶神恶煞 xiong1'shen2'e4'sha4
凶相毕露 xiong1'xiang1'bi4'lu4
兄弟阋墙 xiong1'di4'xi4'qiang2
汹涌澎湃 xiong1'yong3'peng2'pai4
胸无大志 xiong1'wu2'da4'zhi4
胸无点墨 xiong1'wu2'dian3'mo4
胸有成竹 xiong1'you3'cheng2'zhu2
雄才大略 xiong2'cai2'da4'lue4
雄心勃勃 xiong2'xin1'bo2'bo2
雄心壮志 xiong2'xin1'zhuang4'zhi4
雄姿英发 xiong2'zi1'ying1'fa1
休戚与共 xiu1'qi1'yu3'gong4
休戚相关 xiu1'qi1'xiang1'guan1
休养生息 xiu1'yang3'sheng1'xi1
修旧利废 xiu1'jiu4'li4'fei4
修身养性 xiu1'shen1'yang3'xing4
修正主义 xiu1'zheng4'zhu3'yi4
羞人答答 xiu1'ren2'da1'da1
秀色可餐 xiu4'se4'ke3'can1
秀外慧中 xiu4'wai4'hui4'zhong1
绣花枕头 xiu4'hua1'zhen3'tou2
袖手旁观 xiu4'shou3'pang2'guan1
虚应故事 xu1'ying4'gu4'shi4
虚怀若谷 xu1'huai2'ruo4'gu3
虚情假意 xu1'qing2'jia3'yi4
虚位以待 xu1'wei4'yi3'dai4
虚无缥缈 xu1'wu2'piao1'miao3
虚无主义 xu1'wu2'zhu3'yi4
虚有其表 xu1'you3'qi2'biao3
虚与委蛇 xu1'yu3'wei1'yi2
虚张声势 xu1'zhang1'sheng1'shi4
嘘寒问暖 xu1'han2'wen4'nuan3
徐娘半老 xu2'niang2'ban4'lao3
栩栩如生 xu3'xu3'ru2'sheng1
蓄势待发 xu4'shi4'dai4'fa1
轩然大波 xuan1'ran2'da4'bo1
喧宾夺主 xuan1'bin1'duo2'zhu3
玄之又玄 xuan2'zhi1'you4'xuan2
悬灯结彩 xuan2'deng1'jie2'cai3
悬而未决 xuan2'er2'wei4'jue2
悬崖绝壁 xuan2'ya2'jue2'bi4
悬崖勒马 xuan2'ya2'le4'ma3
旋转餐厅 xuan2'zhuan3'can1'ting1
选贤任能 xuan3'xian2'ren4'neng2
癣疥之疾 xuan3'jie4'zhi1'ji2
绚丽多彩 xuan4'li4'duo1'cai3
绚丽多姿 xuan4'li4'duo1'zi1
削铁如泥 xue1'tie3'ru2'ni2
削足适履 xue1'zu2'shi4'lv3
穴居野处 xue2'ju1'ye3'chu3
学而不厌 xue2'er2'bu4'yan4
学富五车 xue2'fu4'wu3'che1
学贯中西 xue2'guan4'zhong1'xi1
学前教育 xue2'qian2'jiao4'yu4
学无止境 xue2'wu2'zhi3'jing4
学以致用 xue2'yi3'zhi4'yong4
学有专长 xue2'you3'zhuan1'chang2
雪里送炭 xue3'li3'song4'tan4
雪泥鸿爪 xue3'ni2'hong2'zhao3
雪上加霜 xue3'shang4'jia1'shuang1
雪中送炭 xue3'zhong1'song4'tan4
血海深仇 xue4'hai3'shen1'chou2
血红蛋白 xue4'hong2'dan4'bai2
血口喷人 xue4'kou3'pen1'ren2
血流如注 xue4'liu2'ru2'zhu4
血盆大口 xue4'pen2'da4'kou3
血气方刚 xue4'qi4'fang1'gang1
血肉横飞 xue4'rou4'heng2'fei1
血肉相连 xue4'rou4'xiang1'lian2
血肉之躯 xue4'rou4'zhi1'qu1
血雨腥风 xue4'yu3'xing1'feng1
寻根究底 xun2'gen1'jiu1'di3
寻花问柳 xun2'hua1'wen4'liu3
寻欢作乐 xun2'huan1'zuo4'le4
寻死觅活 xun2'si3'mi4'huo2
寻章摘句 xun2'zhang1'zhai1'ju4
巡航导弹 xun2'hang2'dao3'dan4
循规蹈矩 xun2'gui1'dao3'ju3
循环往复 xun2'huan2'wang3'fu4
循环系统 xun2'huan2'xi4'tong3
循序渐进 xun2'xu4'jian4'jin4
循循善诱 xun2'xun2'shan4'you4
徇私舞弊 xun4'si1'wu3'bi4
压倒多数 ya1'dao3'duo1'shu4
压缩饼干 ya1'suo1'bing3'gan1
压缩空气 ya1'suo1'kong1'qi4
鸦片战争 ya1'pian4'zhan4'zheng1
鸦雀无声 ya1'que4'wu2'sheng1
牙牙学语 ya2'ya2'xue2'yu3
哑口无言 ya3'kou3'wu2'yan2
哑然失笑 ya3'ran2'shi1'xiao4
雅俗共赏 ya3'su2'gong4'shang3
亚太地区 ya4'tai4'di4'qu1
揠苗助长 ya4'miao2'zhu4'zhang3
烟波浩渺 yan1'bo1'hao4'miao3
烟消云散 yan1'xiao1'yun2'san4
烟熏火燎 yan1'xun1'huo3'liao3
嫣然一笑 yan1'ran2'yi1'xiao4
延年益寿 yan2'nian2'yi4'shou4
严惩不贷 yan2'cheng2'bu4'dai4
严丝合缝 yan2'si1'he2'feng4
严肃音乐 yan2'su4'yin1'yue4
严以律己 yan2'yi3'lv4'ji3
严于律己 yan2'yu2'lv4'ji3
严阵以待 yan2'zhen4'yi3'dai4
言过其实 yan2'guo4'qi2'shi2
言听计从 yan2'ting1'ji4'cong2
言之成理 yan2'zhi1'cheng2'li3
言之凿凿 yan2'zhi1'zao2'zao2
言不及义 yan2'bu4'ji2'yi4
言不由衷 yan2'bu4'you2'zhong1
言传身教 yan2'chuan2'shen1'jiao4
言而无信 yan2'er2'wu2'xin4
言归于好 yan2'gui1'yu2'hao3
言归正传 yan2'gui1'zheng4'zhuan4
言简意赅 yan2'jian3'yi4'gai1
言外之意 yan2'wai4'zhi1'yi4
言为心声 yan2'wei2'xin1'sheng1
言无二价 yan2'wu2'er4'jia4
言犹在耳 yan2'you2'zai4'er3
言者无罪 yan2'zhe3'wu2'zui4
言之无物 yan2'zhi1'wu2'wu4
言之有据 yan2'zhi1'you3'ju4
言之有理 yan2'zhi1'you3'li3
言之有物 yan2'zhi1'you3'wu4
炎黄子孙 yan2'huang2'zi3'sun1
奄奄一息 yan3'yan3'yi1'xi1
偃旗息鼓 yan3'qi2'xi1'gu3
偃武修文 yan3'wu3'xiu1'wen2
掩耳盗铃 yan3'er3'dao4'ling2
掩人耳目 yan3'ren2'er3'mu4
眼高手低 yan3'gao1'shou3'di1
眼花缭乱 yan3'hua1'liao2'luan4
眼疾手快 yan3'ji2'shou3'kuai4
眼明手快 yan3'ming2'shou3'kuai4
眼皮底下 yan3'pi2'di3'xia
验明正身 yan4'ming2'zheng4'shen1
雁过拔毛 yan4'guo4'ba2'mao2
泱泱大国 yang1'yang1'da4'guo2
殃及池鱼 yang1'ji2'chi2'yu2
扬长避短 yang2'chang2'bi4'duan3
扬长而去 yang2'chang2'er2'qu4
扬眉吐气 yang2'mei2'tu3'qi4
扬汤止沸 yang2'tang1'zhi3'fei4
羊肠小道 yang2'chang2'xiao3'dao4
阳春白雪 yang2'chun1'bai2'xue3
阳奉阴违 yang2'feng4'yin1'wei2
阳刚之气 yang2'gang1'zhi1'qi4
阳关大道 yang2'guan1'da4'dao4
洋里洋气 yang2'li3'yang2'qi4
洋腔洋调 yang2'qiang1'yang2'diao4
洋为中用 yang2'wei2'zhong1'yong4
洋洋大观 yang2'yang2'da4'guan1
洋洋得意 yang2'yang2'de2'yi4
洋洋洒洒 yang2'yang2'sa3'sa3
洋洋自得 yang2'yang2'zi4'de2
仰人鼻息 yang3'ren2'bi2'xi1
仰卧起坐 yang3'wo4'qi3'zuo4
养虎遗患 yang3'hu3'yi2'huan4
养家糊口 yang3'jia1'hu2'kou3
养精蓄锐 yang3'jing1'xu4'rui4
养尊处优 yang3'zun1'chu3'you1
怏怏不乐 yang4'yang4'bu4'le4
吆五喝六 yao1'wu3'he4'liu4
妖里妖气 yao1'li3'yao1'qi4
妖魔鬼怪 yao1'mo2'gui3'guai4
妖言惑众 yao1'yan2'huo4'zhong4
腰缠万贯 yao1'chan2'wan4'guan4
腰肌劳损 yao1'ji1'lao2'sun3
尧天舜日 yao2'tian1'shun4'ri4
摇笔杆儿 yao2'bi3'gan3'er
摇唇鼓舌 yao2'chun2'gu3'she2
摇鹅毛扇 yao2'e2'mao2'shan4
摇旗呐喊 yao2'qi2'na4'han3
摇身一变 yao2'shen1'yi1'bian4
摇头摆尾 yao2'tou2'bai3'wei3
摇头晃脑 yao2'tou2'huang4'nao3
摇尾乞怜 yao2'wei3'qi3'lian2
摇摇欲坠 yao2'yao2'yu4'zhui4
遥相呼应 yao2'xiang1'hu1'ying4
遥遥领先 yao2'yao2'ling3'xian1
遥遥无期 yao2'yao2'wu2'qi1
杳如黄鹤 yao3'ru2'huang2'he4
杳无音信 yao3'wu2'yin1'xin4
杳无音讯 yao3'wu2'yin1'xun4
咬紧牙关 yao3'jin3'ya2'guan1
咬文嚼字 yao3'wen2'jiao2'zi4
咬牙切齿 yao3'ya2'qie4'chi3
要死不活 yao4'si3'bu4'huo2
要言不烦 yao4'yan2'bu4'fan2
耀武扬威 yao4'wu3'yang2'wei1
也就是说 ye3'jiu4'shi4'shuo1
野心勃勃 ye3'xin1'bo2'bo2
野战医院 ye3'zhan4'yi1'yuan4
业精于勤 ye4'jing1'yu2'qin2
叶公好龙 ye4'gong1'hao4'long2
叶落归根 ye4'luo4'gui1'gen1
夜不闭户 ye4'bu4'bi4'hu4
夜长梦多 ye4'chang2'meng4'duo1
夜郎自大 ye4'lang2'zi4'da4
夜深人静 ye4'shen1'ren2'jing4
夜以继日 ye4'yi3'ji4'ri4
一衣带水 yi1'yi1'dai4'shui3
一意孤行 yi1'yi4'gu1'xing2
一应俱全 yi1'ying1'ju4'quan2
一股劲儿 yi1'gu3'jin4'er
一国两制 yi1'guo2'liang3'zhi4
一语道破 yi1'yu3'dao4'po4
一哄而上 yi1'hong1'er2'shang4
一哄而起 yi1'hong4'er2'qi3
一哄而散 yi1'hong4'er2'san4
一呼百诺 yi1'hu1'bai3'nuo4
一丘之貉 yi1'qiu1'zhi1'he2
一门心思 yi1'men2'xin1'si
一年半载 yi1'nian2'ban4'zai3
一炮打响 yi1'pao4'da3'xiang3
一日千里 yi1'ri4'qian1'li3
一如既往 yi1'ru2'ji4'wang3
一扫而光 yi1'sao3'er2'guang1
一扫而空 yi1'sao3'er2'kong1
一无所获 yi1'wu2'suo3'huo4
一氧化碳 yi1'yang3'hua4'tan4
一叶知秋 yi1'ye4'zhi1'qiu1
一言难尽 yi1'yan2'nan2'jin4
一把好手 yi1'ba3'hao3'shou3
一败涂地 yi1'bai4'tu2'di4
一般见识 yi1'ban1'jian4'shi
一般来说 yi1'ban1'lai2'shuo1
一板一眼 yi1'ban3'yi1'yan3
一饱眼福 yi1'bao3'yan3'fu2
一本正经 yi1'ben3'zheng4'jing1
一笔带过 yi1'bi3'dai4'guo4
一笔勾销 yi1'bi3'gou1'xiao1
一笔抹杀 yi1'bi3'mo3'sha1
一臂之力 yi1'bi4'zhi1'li4
一表人才 yi1'biao3'ren2'cai2
一病不起 yi1'bing4'bu4'qi3
一波三折 yi1'bo1'san1'zhe2
一步到位 yi1'bu4'dao4'wei4
一步登天 yi1'bu4'deng1'tian1
一差二错 yi1'cha1'er4'cuo4
一唱百和 yi1'chang4'bai3'he4
一唱一和 yi1'chang4'yi1'he4
一尘不染 yi1'chen2'bu4'ran3
一成不变 yi1'cheng2'bu4'bian4
一筹莫展 yi1'chou2'mo4'zhan3
一触即发 yi1'chu4'ji2'fa1
一触即溃 yi1'chu4'ji2'kui4
一锤定音 yi1'chui2'ding4'yin1
一蹴而就 yi1'cu4'er2'jiu4
一刀两断 yi1'dao1'liang3'duan4
一得之见 yi1'de2'zhi1'jian4
一点一滴 yi1'dian3'yi1'di1
一丁点儿 yi1'ding1'dian3'er
一定之规 yi1'ding4'zhi1'gui1
一动不动 yi1'dong4'bu4'dong4
一发千钧 yi1'fa4'qian1'jun1
一帆风顺 yi1'fan1'feng1'shun4
一反常态 yi1'fan3'chang2'tai4
一分为二 yi1'fen1'wei2'er4
一概而论 yi1'gai4'er2'lun4
一干二净 yi1'gan1'er4'jing4
一个劲儿 yi1'ge'jin4'er
一股脑儿 yi1'gu3'nao3'er
一鼓作气 yi1'gu3'zuo4'qi4
一呼百应 yi1'hu1'bai3'ying4
一挥而就 yi1'hui1'er2'jiu4
一技之长 yi1'ji4'zhi1'chang2
一家一户 yi1'jia1'yi1'hu4
一家之言 yi1'jia1'zhi1'yan2
一见倾心 yi1'jian4'qing1'xin1
一见如故 yi1'jian4'ru2'gu4
一箭双雕 yi1'jian4'shuang1'diao1
一见钟情 yi1'jian4'zhong1'qing2
一举成名 yi1'ju3'cheng2'ming2
一举两得 yi1'ju3'liang3'de2
一蹶不振 yi1'jue2'bu4'zhen4
一决雌雄 yi1'jue2'ci2'xiong2
一孔之见 yi1'kong3'zhi1'jian4
一来二去 yi1'lai2'er4'qu4
一览无余 yi1'lan3'wu2'yu2
一劳永逸 yi1'lao2'yong3'yi4
一连气儿 yi1'lian2'qi4'er
一了百了 yi1'liao3'bai3'liao3
一鳞半爪 yi1'lin2'ban4'zhao3
一路顺风 yi1'lu4'shun4'feng1
一落千丈 yi1'luo4'qian1'zhang4
一马当先 yi1'ma3'dang1'xian1
一马平川 yi1'ma3'ping2'chuan1
一脉相承 yi1'mai4'xiang1'cheng2
一脉相传 yi1'mai4'xiang1'chuan2
一脉相通 yi1'mai4'xiang1'tong1
一毛不拔 yi1'mao2'bu4'ba2
一面之词 yi1'mian4'zhi1'ci2
一面之交 yi1'mian4'zhi1'jiao1
一鸣惊人 yi1'ming2'jing1'ren2
一命呜呼 yi1'ming4'wu1'hu1
一模一样 yi1'mu2'yi1'yang4
一目了然 yi1'mu4'liao3'ran2
一目十行 yi1'mu4'shi2'hang2
一年到头 yi1'nian2'dao4'tou2
一念之差 yi1'nian4'zhi1'cha1
一诺千金 yi1'nuo4'qian1'jin1
一拍即合 yi1'pai1'ji2'he2
一盘散沙 yi1'pan2'san3'sha1
一片冰心 yi1'pian4'bing1'xin1
一贫如洗 yi1'pin2'ru2'xi3
一气呵成 yi1'qi4'he1'cheng2
一钱不值 yi1'qian2'bu4'zhi2
一窍不通 yi1'qiao4'bu4'tong1
一清二白 yi1'qing1'er4'bai2
一清二楚 yi1'qing1'er4'chu3
一穷二白 yi1'qiong2'er4'bai2
一声不响 yi1'sheng1'bu4'xiang3
一生一世 yi1'sheng1'yi1'shi4
一时半刻 yi1'shi2'ban4'ke4
一石二鸟 yi1'shi2'er4'niao3
一时一刻 yi1'shi2'yi1'ke4
一视同仁 yi1'shi4'tong2'ren2
一事无成 yi1'shi4'wu2'cheng2
一手包办 yi1'shou3'bao1'ban4
一手遮天 yi1'shou3'zhe1'tian1
一丝不苟 yi1'si1'bu4'gou3
一丝不挂 yi1'si1'bu4'gua4
一塌糊涂 yi1'ta1'hu2'tu2
一潭死水 yi1'tan2'si3'shui3
一天到晚 yi1'tian1'dao4'wan3
一通百通 yi1'tong1'bai3'tong1
一统天下 yi1'tong3'tian1'xia4
一头雾水 yi1'tou2'wu4'shui3
一吐为快 yi1'tu3'wei2'kuai4
一团和气 yi1'tuan2'he2'qi4
一团漆黑 yi1'tuan2'qi1'hei1
一网打尽 yi1'wang3'da3'jin4
一往情深 yi1'wang3'qing2'shen1
一往无前 yi1'wang3'wu2'qian2
一望无边 yi1'wang4'wu2'bian1
一望无际 yi1'wang4'wu2'ji4
一望无垠 yi1'wang4'wu2'yin2
一文不名 yi1'wen2'bu4'ming2
一无是处 yi1'wu2'shi4'chu4
一无所得 yi1'wu2'suo3'de2
一无所见 yi1'wu2'suo3'jian4
一无所能 yi1'wu2'suo3'neng2
一无所求 yi1'wu2'suo3'qiu2
一无所有 yi1'wu2'suo3'you3
一无所知 yi1'wu2'suo3'zhi1
一五一十 yi1'wu3'yi1'shi2
一息尚存 yi1'xi1'shang4'cun2
一席之地 yi1'xi2'zhi1'di4
一显身手 yi1'xian3'shen1'shou3
一厢情愿 yi1'xiang1'qing2'yuan4
一笑置之 yi1'xiao4'zhi4'zhi1
一泻千里 yi1'xie4'qian1'li3
一心一德 yi1'xin1'yi1'de2
一心一意 yi1'xin1'yi1'yi4
一言九鼎 yi1'yan2'jiu3'ding3
一言为定 yi1'yan2'wei2'ding4
一言一行 yi1'yan2'yi1'xing2
一语破的 yi1'yu3'po4'di4
